Timer precision: 42 ns
unnesting_execution          fastest       │ slowest       │ median        │ mean          │ samples │ iters
╰─ disabled                                │               │               │               │         │
   ╰─ scalar_sum_inequality  54.82 ms      │ 56.39 ms      │ 55.2 ms       │ 55.37 ms      │ 10      │ 10
                             max alloc:    │               │               │               │         │
                               1           │ 1             │ 1             │ 1             │         │
                               1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
                             alloc:        │               │               │               │         │
                               255         │ 255           │ 255           │ 255           │         │
                               375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
                             dealloc:      │               │               │               │         │
                               255         │ 255           │ 255           │ 255           │         │
                               375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │

