Timer precision: 42 ns
unnesting_execution          fastest       │ slowest       │ median        │ mean          │ samples │ iters
╰─ disabled                                │               │               │               │         │
   ╰─ scalar_sum_inequality  55.8 ms       │ 56.69 ms      │ 56.1 ms       │ 56.2 ms       │ 10      │ 10
                             max alloc:    │               │               │               │         │
                               1           │ 1             │ 1             │ 1             │         │
                               1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
                             alloc:        │               │               │               │         │
                               255         │ 255           │ 255           │ 255           │         │
                               375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
                             dealloc:      │               │               │               │         │
                               255         │ 255           │ 255           │ 255           │         │
                               375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │

