Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            393.2 µs      │ 545 µs        │ 415.3 µs      │ 432.7 µs      │ 10      │ 10
│  ├─ derived_limit            18.47 ms      │ 19.4 ms       │ 18.95 ms      │ 18.95 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             26          │ 26            │ 26            │ 26            │         │
│  │                             22.75 KB    │ 22.75 KB      │ 22.75 KB      │ 22.75 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             417.6 KB    │ 417.6 KB      │ 417.6 KB      │ 417.6 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             418.7 KB    │ 418.7 KB      │ 418.7 KB      │ 418.7 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             9           │ 9             │ 9             │ 9             │         │
│  │                             1.091 KB    │ 1.091 KB      │ 1.091 KB      │ 1.091 KB      │         │
│  ├─ exists_distinct_16       6.086 ms      │ 6.588 ms      │ 6.288 ms      │ 6.307 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300           │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295           │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_distinct_256      5.265 ms      │ 5.671 ms      │ 5.49 ms       │ 5.462 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.9 KB     │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300           │ 300.2         │         │
│  │                             39.19 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295           │ 295.2         │         │
│  │                             34.56 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_high_selectivity  6.134 ms      │ 6.655 ms      │ 6.159 ms      │ 6.225 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 300           │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 295           │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_indexed           5.753 ms      │ 5.904 ms      │ 5.832 ms      │ 5.832 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300           │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295           │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_low_selectivity   5.266 ms      │ 6.546 ms      │ 5.557 ms      │ 5.755 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300           │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295           │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_nulls             5.565 ms      │ 5.899 ms      │ 5.699 ms      │ 5.703 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300           │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295           │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_outer_16          5.145 ms      │ 5.406 ms      │ 5.209 ms      │ 5.237 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 300           │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 295           │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_outer_256         5.832 ms      │ 5.974 ms      │ 5.869 ms      │ 5.885 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 300           │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 295           │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_outer_1024        7.31 ms       │ 8.152 ms      │ 7.909 ms      │ 7.882 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.9 KB       │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 301           │ 300           │ 300.2         │         │
│  │                             38.66 KB    │ 39.19 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 296           │ 295           │ 295.2         │         │
│  │                             34.28 KB    │ 34.56 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_skewed            6.081 ms      │ 6.719 ms      │ 6.435 ms      │ 6.451 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.7 KB       │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 300.5         │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 38.79 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 295.5         │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.35 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ inequality               5.706 ms      │ 6.102 ms      │ 5.923 ms      │ 5.923 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             32          │ 32            │ 32            │ 32            │         │
│  │                             12.54 KB    │ 12.4 KB       │ 12.4 KB       │ 12.44 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 299           │ 299           │ 299.2         │         │
│  │                             37.7 KB     │ 37.43 KB      │ 37.43 KB      │ 37.51 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 294           │ 294           │ 294.2         │         │
│  │                             33.19 KB    │ 33.05 KB      │ 33.05 KB      │ 33.09 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ inequality_indexed       5.754 ms      │ 6.119 ms      │ 6.031 ms      │ 6.02 ms       │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             32          │ 32            │ 32            │ 32            │         │
│  │                             12.54 KB    │ 12.4 KB       │ 12.54 KB      │ 12.44 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 299           │ 299.5         │ 299.2         │         │
│  │                             37.7 KB     │ 37.43 KB      │ 37.69 KB      │ 37.51 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 294           │ 294.5         │ 294.2         │         │
│  │                             33.19 KB    │ 33.05 KB      │ 33.19 KB      │ 33.09 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ nested_depth_2           28.24 ms      │ 28.93 ms      │ 28.7 ms       │ 28.67 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             298         │ 298           │ 298           │ 298           │         │
│  │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             298         │ 298           │ 298           │ 298           │         │
│  │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
│  ├─ nested_depth_4           28.64 ms      │ 29.86 ms      │ 29.13 ms      │ 29.19 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             384         │ 384           │ 384           │ 384           │         │
│  │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             384         │ 384           │ 384           │ 384           │         │
│  │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
│  ├─ scalar_first_ordered     48.62 ms      │ 50.64 ms      │ 49.45 ms      │ 49.5 ms       │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             21          │ 21            │ 21            │ 21            │         │
│  │                             34.99 KB    │ 34.99 KB      │ 34.99 KB      │ 34.99 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.039 MB    │ 3.039 MB      │ 3.039 MB      │ 3.039 MB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.202 MB    │ 3.202 MB      │ 3.202 MB      │ 3.202 MB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             621         │ 621           │ 621           │ 621           │         │
│  │                             162.6 KB    │ 162.6 KB      │ 162.6 KB      │ 162.6 KB      │         │
│  ├─ scalar_sum_equality      33.15 ms      │ 35.69 ms      │ 34.2 ms       │ 34.34 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ╰─ scalar_sum_inequality    36.08 ms      │ 37.37 ms      │ 36.8 ms       │ 36.78 ms      │ 10      │ 10
│                              max alloc:    │               │               │               │         │
│                                1           │ 1             │ 1             │ 1             │         │
│                                1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│                              alloc:        │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│                              dealloc:      │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
├─ disabled                                  │               │               │               │         │
