Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            439.2 µs      │ 569.9 µs      │ 447.6 µs      │ 462.3 µs      │ 10      │ 10
│  ├─ derived_limit            19.26 ms      │ 20.59 ms      │ 20.17 ms      │ 20.12 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             26          │ 26            │ 26            │ 26            │         │
│  │                             22.75 KB    │ 22.75 KB      │ 22.75 KB      │ 22.75 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             417.6 KB    │ 417.6 KB      │ 417.6 KB      │ 417.6 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             418.7 KB    │ 418.7 KB      │ 418.7 KB      │ 418.7 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             9           │ 9             │ 9             │ 9             │         │
│  │                             1.091 KB    │ 1.091 KB      │ 1.091 KB      │ 1.091 KB      │         │
│  ├─ exists_distinct_16       6.129 ms      │ 6.723 ms      │ 6.282 ms      │ 6.33 ms       │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300.5         │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295.5         │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_distinct_256      5.488 ms      │ 5.644 ms      │ 5.573 ms      │ 5.57 ms       │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300           │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295           │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_high_selectivity  6.241 ms      │ 6.481 ms      │ 6.331 ms      │ 6.341 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.9 KB       │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 301           │ 300           │ 300.2         │         │
│  │                             38.93 KB    │ 39.19 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 296           │ 295           │ 295.2         │         │
│  │                             34.42 KB    │ 34.56 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_indexed           5.759 ms      │ 6.043 ms      │ 5.892 ms      │ 5.903 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
